2026-09-26T08:52:22.413Z [unmapped] start pid 97957: /opt/homebrew/bin/llama-server -m /Users/kidney/models/Qwen3.5-4B-Q4_K_M.gguf --port 8080 -c 16384 --jinja --host 127.0.0.1 -ngl 99
2026-09-26T08:52:22.444Z 0.00.000.475 I srv  llama_server: initializing ...
2026-09-26T08:52:22.609Z 0.00.166.232 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
2026-09-26T08:52:22.610Z 0.00.167.418 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
2026-09-26T08:52:22.611Z 0.00.168.028 I srv    load_model: loading model '/Users/kidney/models/Qwen3.5-4B-Q4_K_M.gguf'
2026-09-26T08:52:25.271Z 0.02.828.464 I cmn          init: llama threadpool init, n_threads = 6
2026-09-26T08:52:25.480Z 0.03.036.889 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 16384, kv_unified = 'true'
2026-09-26T08:52:25.487Z 0.03.044.035 I srv  llama_server: model loaded
2026-09-26T08:52:25.487Z 0.03.044.041 I srv  llama_server: listening on http://127.0.0.1:8080
2026-09-26T08:52:25.487Z 0.03.044.042 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
2026-09-26T08:52:25.939Z [unmapped] ready on :8080 after 3528 ms
2026-09-26T08:52:38.541Z 0.16.098.660 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
2026-09-26T08:52:38.542Z 0.16.098.749 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
2026-09-26T08:52:42.120Z 0.19.677.158 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   1149, progress = 1.00, t =   3.58 s / 321.11 tokens per second
2026-09-26T08:52:46.034Z 0.23.590.958 I slot print_timing: id  3 | task 0 | n_gen =    100, tg =  26.61 t/s, tg_3s =  26.88 t/s
2026-09-26T08:52:47.238Z 0.24.795.191 I slot print_timing: id  3 | task 0 | prompt eval time =    3772.09 ms /  1153 tokens (    3.27 ms per token,   305.67 tokens per second)
2026-09-26T08:52:47.238Z 0.24.795.196 I slot print_timing: id  3 | task 0 |        eval time =    4924.19 ms /   131 tokens (   37.88 ms per token,    26.40 tokens per second)
2026-09-26T08:52:47.238Z 0.24.795.197 I slot print_timing: id  3 | task 0 |       total time =    8696.27 ms /  1284 tokens
2026-09-26T08:52:47.238Z 0.24.795.197 I slot print_timing: id  3 | task 0 |    graphs reused =        129
2026-09-26T08:52:47.239Z 0.24.796.069 I slot      release: id  3 | task 0 | stop processing: n_tokens = 1283, truncated = 0
2026-09-26T08:52:47.274Z 0.24.830.689 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.713 (> 0.100 thold), f_keep = 0.896
2026-09-26T08:52:47.274Z 0.24.830.792 I slot launch_slot_: id  3 | task 135 | processing task, is_child = 0
2026-09-26T08:52:52.762Z 0.30.318.907 I slot print_timing: id  3 | task 135 | n_gen =    100, tg =  26.09 t/s, tg_3s =  26.35 t/s
2026-09-26T08:52:54.327Z 0.31.884.208 I slot print_timing: id  3 | task 135 | prompt eval time =    1693.43 ms /   463 tokens (    3.66 ms per token,   273.41 tokens per second)
2026-09-26T08:52:54.327Z 0.31.884.213 I slot print_timing: id  3 | task 135 |        eval time =    5359.88 ms /   141 tokens (   38.28 ms per token,    26.12 tokens per second)
2026-09-26T08:52:54.327Z 0.31.884.213 I slot print_timing: id  3 | task 135 |       total time =    7053.31 ms /   604 tokens
2026-09-26T08:52:54.327Z 0.31.884.214 I slot print_timing: id  3 | task 135 |    graphs reused =        268
2026-09-26T08:52:54.328Z 0.31.884.807 I slot      release: id  3 | task 135 | stop processing: n_tokens = 1752, truncated = 0
2026-09-26T08:52:55.360Z 0.32.916.792 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
2026-09-26T08:52:55.360Z 0.32.916.859 I slot launch_slot_: id  2 | task 279 | processing task, is_child = 0
2026-09-26T08:53:00.828Z 0.38.385.531 I slot print_timing: id  2 | task 279 | n_gen =    100, tg =  26.83 t/s, tg_3s =  27.10 t/s
2026-09-26T08:53:03.833Z 0.41.390.554 I slot print_timing: id  2 | task 279 | n_gen =    180, tg =  26.74 t/s, tg_3s =  26.62 t/s
2026-09-26T08:53:06.838Z 0.44.395.171 I slot print_timing: id  2 | task 279 | n_gen =    260, tg =  26.70 t/s, tg_3s =  26.63 t/s
2026-09-26T08:53:09.876Z 0.47.433.017 I slot print_timing: id  2 | task 279 | n_gen =    341, tg =  26.69 t/s, tg_3s =  26.66 t/s
2026-09-26T08:53:12.879Z 0.50.436.023 I slot print_timing: id  2 | task 279 | n_gen =    422, tg =  26.75 t/s, tg_3s =  26.97 t/s
2026-09-26T08:53:15.894Z 0.53.451.035 I slot print_timing: id  2 | task 279 | n_gen =    503, tg =  26.77 t/s, tg_3s =  26.87 t/s
2026-09-26T08:53:18.905Z 0.56.462.548 I slot print_timing: id  2 | task 279 | n_gen =    583, tg =  26.74 t/s, tg_3s =  26.56 t/s
2026-09-26T08:53:20.899Z 0.58.456.523 I slot print_timing: id  2 | task 279 | prompt eval time =    1577.16 ms /   437 tokens (    3.61 ms per token,   277.08 tokens per second)
2026-09-26T08:53:20.899Z 0.58.456.527 I slot print_timing: id  2 | task 279 |        eval time =   23760.75 ms /   636 tokens (   37.42 ms per token,    26.72 tokens per second)
2026-09-26T08:53:20.899Z 0.58.456.527 I slot print_timing: id  2 | task 279 |       total time =   25337.91 ms /  1073 tokens
2026-09-26T08:53:20.899Z 0.58.456.527 I slot print_timing: id  2 | task 279 |    graphs reused =        899
2026-09-26T08:53:20.899Z 0.58.456.750 I slot      release: id  2 | task 279 | stop processing: n_tokens = 1072, truncated = 0
2026-09-26T08:53:45.694Z 1.23.251.559 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
2026-09-26T08:53:45.695Z 1.23.252.122 I slot launch_slot_: id  1 | task 918 | processing task, is_child = 0
2026-09-26T08:53:50.510Z 1.28.067.525 I slot print_timing: id  1 | task 918 | prompt processing, n_tokens =   2048, progress = 0.76, t =   4.71 s / 434.71 tokens per second
2026-09-26T08:53:52.106Z 1.29.663.485 I slot print_timing: id  1 | task 918 | prompt processing, n_tokens =   2178, progress = 0.81, t =   6.31 s / 345.32 tokens per second
2026-09-26T08:53:52.603Z 1.30.159.793 I slot print_timing: id  1 | task 918 | prompt processing, n_tokens =   2665, progress = 0.99, t =   6.80 s / 391.71 tokens per second
2026-09-26T08:53:54.206Z 1.31.763.276 I slot print_timing: id  1 | task 918 | prompt processing, n_tokens =   2690, progress = 1.00, t =   8.41 s / 319.97 tokens per second
2026-09-26T08:53:58.172Z 1.35.728.727 I slot print_timing: id  1 | task 918 | n_gen =    100, tg =  26.33 t/s, tg_3s =  26.60 t/s
2026-09-26T08:54:01.187Z 1.38.744.233 I slot print_timing: id  1 | task 918 | n_gen =    178, tg =  26.13 t/s, tg_3s =  25.87 t/s
2026-09-26T08:54:04.207Z 1.41.764.199 I slot print_timing: id  1 | task 918 | n_gen =    255, tg =  25.93 t/s, tg_3s =  25.50 t/s
2026-09-26T08:54:07.234Z 1.44.791.126 I slot print_timing: id  1 | task 918 | n_gen =    334, tg =  25.97 t/s, tg_3s =  26.10 t/s
2026-09-26T08:54:10.241Z 1.47.798.390 I slot print_timing: id  1 | task 918 | n_gen =    412, tg =  25.96 t/s, tg_3s =  25.94 t/s
2026-09-26T08:54:10.625Z 1.48.182.681 I slot print_timing: id  1 | task 918 | prompt eval time =    8612.98 ms /  2694 tokens (    3.20 ms per token,   312.78 tokens per second)
2026-09-26T08:54:10.625Z 1.48.182.685 I slot print_timing: id  1 | task 918 |        eval time =   16213.34 ms /   422 tokens (   38.51 ms per token,    25.97 tokens per second)
2026-09-26T08:54:10.625Z 1.48.182.685 I slot print_timing: id  1 | task 918 |       total time =   24826.32 ms /  3116 tokens
2026-09-26T08:54:10.625Z 1.48.182.686 I slot print_timing: id  1 | task 918 |    graphs reused =       1317
2026-09-26T08:54:10.626Z 1.48.183.646 I slot      release: id  1 | task 918 | stop processing: n_tokens = 3115, truncated = 0
2026-09-26T08:54:10.652Z 1.48.209.154 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 0.707 (> 0.100 thold), f_keep = 0.864
2026-09-26T08:54:10.652Z 1.48.209.260 I slot launch_slot_: id  1 | task 1345 | processing task, is_child = 0
2026-09-26T08:54:18.497Z 1.56.054.349 I slot print_timing: id  1 | task 1345 | n_gen =    100, tg =  25.15 t/s, tg_3s =  25.41 t/s
2026-09-26T08:54:21.509Z 1.59.066.506 I slot print_timing: id  1 | task 1345 | n_gen =    177, tg =  25.33 t/s, tg_3s =  25.56 t/s
